Year,Rank,Recipient,Country,Career,Tied,Title
2005,10,"Ellsworth Gottlieb",Swaziland,"Automotive Body Repairer",0,"Ellsworth Gottlieb"
2006,1,"Stacey Becker","Northern Mariana Islands","Data Processing Equipment Repairer",0,"Stacey Becker"
2006,2,"Rose Smitham",Kenya,"Transportation and Material-Moving",0,"Rose Smitham"
2006,3,"Brianne Purdy","Heard Island and McDonald Islands",Dispatcher,0,"Brianne Purdy"
2006,4,"Joanne Watsica PhD",Greece,"Construction Manager",0,"Joanne Watsica PhD"
2006,5,"Devonte Gibson","Bouvet Island (Bouvetoya)","Management Analyst",0,"Devonte Gibson"
2006,6,"Jalyn Beer","Trinidad and Tobago","Gas Pumping Station Operator",0,"Jalyn Beer"
2006,7,"Curt Bradtke",Senegal,"Postal Service Mail Sorter",0,"Curt Bradtke"
2006,8,"Jessica Howell V",Palau,"Human Resources Manager",0,"Jessica Howell V"
2006,9,"Prof. Opal Toy I","Holy See (Vatican City State)","Aviation Inspector",0,"Prof. Opal Toy I"
2006,10,"Hailee Cremin",Mozambique,"Lathe Operator",0,"Hailee Cremin"
2007,1,"Janice Walsh",Macedonia,"Postal Service Mail Carrier",0,"Janice Walsh"
2007,2,"Rosamond Ledner",Guernsey,Prosthodontist,0,"Rosamond Ledner"
2007,3,"Ms. Josianne Mosciski","Christmas Island",Editor,0,"Ms. Josianne Mosciski"
2007,4,"Mrs. Ivah Greenholt",China,Optometrist,0,"Mrs. Ivah Greenholt"
2007,5,"Yvette Klein","Holy See (Vatican City State)",Surveyor,0,"Yvette Klein"
2007,6,"Kaia VonRueden",Lithuania,"Clinical Laboratory Technician",0,"Kaia VonRueden"
2007,7,"Carlos Spencer","British Virgin Islands",Roofer,0,"Carlos Spencer"
2007,8,"Roslyn Hill",Jamaica,"Manager of Air Crew",0,"Roslyn Hill"
2007,9,"Mrs. Nelle Howe",Paraguay,"Insulation Installer",0,"Mrs. Nelle Howe"
2007,10,"Prof. Lyric Reinger PhD","Lao People's Democratic Republic","Machine Tool Operator",0,"Prof. Lyric Reinger PhD"
2008,1,"Nya Wiegand",Malta,"Creative Writer",0,"Nya Wiegand"
2008,2,"Krystel Veum","Norfolk Island","Information Systems Manager",0,"Krystel Veum"
2008,3,"Ms. Ana Kilback III",Pakistan,"Automotive Glass Installers",0,"Ms. Ana Kilback III"
2008,4,"Aubree Glover I","French Southern Territories","Social Work Teacher",0,"Aubree Glover I"
2008,5,"Mr. Declan Thiel V",Mayotte,"Budget Analyst",0,"Mr. Declan Thiel V"
2008,6,"Marilyne Reilly V",Grenada,Paperhanger,0,"Marilyne Reilly V"
2008,7,"Telly Schmitt",Turkmenistan,"Steel Worker",0,"Telly Schmitt"
2008,8,"Charles Labadie","Saint Vincent and the Grenadines","Electronic Masking System Operator",0,"Charles Labadie"
2008,9,"Bell Graham",Montenegro,"Precision Printing Worker",0,"Bell Graham"
2008,10,"Valerie VonRueden",Netherlands,"Photographic Processing Machine Operator",0,"Valerie VonRueden"
2009,1,"Hertha Hammes",Madagascar,"Occupational Health Safety Technician",0,"Hertha Hammes"
2009,2,"Rowan Rolfson",Greenland,Photographer,0,"Rowan Rolfson"
2009,3,"Kaia Stracke","Hong Kong","Precision Mold and Pattern Caster",0,"Kaia Stracke"
2009,4,"Kamron Torp PhD",Lesotho,"Respiratory Therapy Technician",0,"Kamron Torp PhD"
2009,5,"Marisa Ward",Zimbabwe,"Home Health Aide",0,"Marisa Ward"
2009,6,"Kolby Welch",Sweden,"Electro-Mechanical Technician",0,"Kolby Welch"
2009,7,"Abagail Klocko",Angola,"Soil Scientist OR Plant Scientist",0,"Abagail Klocko"
2009,8,"Victoria Murray Sr.",France,"Forming Machine Operator",0,"Victoria Murray Sr."
2009,9,"Prof. Davonte Altenwerth","Norfolk Island","Director Of Business Development",0,"Prof. Davonte Altenwerth"
2009,10,"Brielle Effertz",Mali,"Scanner Operator",0,"Brielle Effertz"
2010,1,"Mr. Brannon Rohan","Russian Federation","Parts Salesperson",0,"Mr. Brannon Rohan"
2010,2,"Ruby Hills",Guinea-Bissau,"Motion Picture Projectionist",0,"Ruby Hills"
2010,3,"Karelle Barrows",Suriname,"Earth Driller",0,"Karelle Barrows"
2010,4,"Earnest Stark",Lesotho,"Textile Knitting Machine Operator",0,"Earnest Stark"
2010,5,"Dawn Mohr",Qatar,"Communications Equipment Operator",0,"Dawn Mohr"
2010,6,"Ms. Twila Kunze II",Indonesia,"Biological Science Teacher",0,"Ms. Twila Kunze II"
2010,7,"Dr. Bertha Kuhlman III",Senegal,"Manufacturing Sales Representative",0,"Dr. Bertha Kuhlman III"
2010,8,"Hildegard Crooks","Syrian Arab Republic","Mental Health Counselor",0,"Hildegard Crooks"
2010,9,"Clint Cormier IV",Vietnam,"Correctional Officer",0,"Clint Cormier IV"
2010,10,"Noble Haag IV","Northern Mariana Islands",Coroner,0,"Noble Haag IV"
2011,1,"Dean Lueilwitz",Algeria,"Music Arranger and Orchestrator",0,"Dean Lueilwitz"
2011,2,"Tara Herzog","Costa Rica","GED Teacher",0,"Tara Herzog"
2011,3,"Nolan Ziemann","Netherlands Antilles",Counselor,0,"Nolan Ziemann"
2011,4,"Violette Flatley",Belarus,"Bartender Helper",0,"Violette Flatley"
2011,5,"Kay Klein DDS","Solomon Islands","Electronic Equipment Assembler",0,"Kay Klein DDS"
2011,6,"Mireya Ankunding I","Western Sahara",Boilermaker,0,"Mireya Ankunding I"
2011,7,"Ms. Makayla Botsford",Taiwan,Jeweler,0,"Ms. Makayla Botsford"
2011,8,"Eriberto Weber",Andorra,"Office Clerk",0,"Eriberto Weber"
2011,9,"Laverne Buckridge III",Guinea-Bissau,"Utility Meter Reader",0,"Laverne Buckridge III"
2011,10,"Dr. Felipe Osinski",Philippines,"Production Helper",0,"Dr. Felipe Osinski"
2012,1,"Golden Purdy",Jordan,"Scanner Operator",0,"Golden Purdy"
2012,2,"Marge Hessel",Djibouti,"Compacting Machine Operator",0,"Marge Hessel"
2012,3,"Sigmund Lind",Ethiopia,"Dental Laboratory Technician",0,"Sigmund Lind"
2012,4,"Wallace Rutherford","American Samoa","Metal Worker",0,"Wallace Rutherford"
2012,5,"Mr. Joseph Hettinger",Turkmenistan,Chef,0,"Mr. Joseph Hettinger"
2012,6,"Eleazar Little MD","Cayman Islands","Music Director",0,"Eleazar Little MD"
2012,7,"Ariel Rau",Mauritius,"Oral Surgeon",0,"Ariel Rau"
2012,8,"Marisa Mayer II",Thailand,"Ambulance Driver",0,"Marisa Mayer II"
2012,9,"Darion Mraz",Montserrat,Pharmacist,0,"Darion Mraz"
2012,10,"Jermaine Barrows","Dominican Republic","Real Estate Broker",0,"Jermaine Barrows"
2013,1,"Adrienne Hyatt","Saint Helena","Psychiatric Aide",0,"Adrienne Hyatt"
2013,2,"Mr. Murl Walsh III",Poland,"Probation Officers and Correctional Treatment Specialist",0,"Mr. Murl Walsh III"
2013,3,"Dimitri Stanton",Mauritania,"Infantry Officer",0,"Dimitri Stanton"
2013,4,"Roger Kovacek",Cambodia,"Sawing Machine Operator",0,"Roger Kovacek"
2013,5,"Heloise Greenfelder",Ukraine,"Metal Worker",0,"Heloise Greenfelder"
2013,6,"Lonnie Harris DVM",Brazil,"Rough Carpenter",0,"Lonnie Harris DVM"
2013,7,"Mr. Boris Johns V",Paraguay,"Agricultural Crop Worker",0,"Mr. Boris Johns V"
2013,8,"Bridget Leannon",Bolivia,"Furniture Finisher",0,"Bridget Leannon"
2013,9,"Prof. Gladys Bednar","South Africa","Aircraft Launch Specialist",0,"Prof. Gladys Bednar"
2013,10,"Kale Hackett","Solomon Islands","Network Systems Analyst",0,"Kale Hackett"
2014,1,"Vidal Orn",Ecuador,"Service Station Attendant",0,"Vidal Orn"
2014,2,"Janice Streich",Maldives,"Product Promoter",0,"Janice Streich"
2014,3,"Wellington Corkery V",Andorra,Musician,0,"Wellington Corkery V"
2014,4,"Constantin Erdman",Norway,"Chemical Technician",0,"Constantin Erdman"
2014,5,"Sonny Powlowski DDS","Antigua and Barbuda",Artist,0,"Sonny Powlowski DDS"
2014,6,"Skyla Blick",Gibraltar,Stonemason,0,"Skyla Blick"
2014,7,"Noemi Grant",Poland,Telemarketer,0,"Noemi Grant"
2014,8,"Isidro Beer Sr.",Bermuda,"Locomotive Engineer",0,"Isidro Beer Sr."
2014,9,"Noel Larson",Qatar,"Press Machine Setter, Operator",0,"Noel Larson"
2014,10,"Prof. Allie Towne","Russian Federation","Social Media Marketing Manager",0,"Prof. Allie Towne"
2015,1,"Coralie Hermiston",Korea,"Receptionist and Information Clerk",0,"Coralie Hermiston"
2015,2,"Kay Kris DDS",Gambia,"Home Entertainment Equipment Installer",0,"Kay Kris DDS"
2015,3,"Prof. Arne Parisian MD",Tunisia,Silversmith,0,"Prof. Arne Parisian MD"
2015,4,"Prince Terry","Pitcairn Islands","Fitness Trainer",0,"Prince Terry"
2015,5,"Laron Bechtelar",Portugal,"Signal Repairer OR Track Switch Repairer",0,"Laron Bechtelar"
2015,6,"Clint Hickle Jr.",Andorra,"Rail Car Repairer",0,"Clint Hickle Jr."
2015,7,"Lukas King",Gabon,"Portable Power Tool Repairer",0,"Lukas King"
2015,8,"Prof. Jamel McClure DVM",Pakistan,"House Cleaner",0,"Prof. Jamel McClure DVM"
2015,9,"Rosina Bayer",India,"Insurance Underwriter",0,"Rosina Bayer"
2015,10,"Ashly Schmitt",Bermuda,"Travel Clerk",0,"Ashly Schmitt"
2016,1,"Elmo Kshlerin",Andorra,"Nuclear Technician",0,"Elmo Kshlerin"
2016,2,"Valerie Veum II",Bermuda,"Court Reporter",0,"Valerie Veum II"
2016,3,"Juwan Heidenreich",India,"Umpire and Referee",0,"Juwan Heidenreich"
2016,4,"Emil Marquardt",Mauritius,"Telephone Operator",0,"Emil Marquardt"
2016,5,"Prof. Maximilian Stoltenberg",Malaysia,"Floral Designer",0,"Prof. Maximilian Stoltenberg"
2016,6,"Kitty Stehr",Oman,"Directory Assistance Operator",0,"Kitty Stehr"
2016,7,"Kathryne Bins",Guinea,Maid,0,"Kathryne Bins"
2016,8,"Syble Fay","New Zealand","Nonfarm Animal Caretaker",0,"Syble Fay"
2016,9,"Prof. Cassandra McClure","San Marino","Soil Conservationist",0,"Prof. Cassandra McClure"
2016,10,"Maximillia Weissnat",Portugal,"Veterinary Assistant OR Laboratory Animal Caretaker",0,"Maximillia Weissnat"
2017,1,"Meta Luettgen","Syrian Arab Republic","Database Manager",0,"Meta Luettgen"
2017,2,"Prof. Melyssa Hegmann Jr.",Switzerland,"Product Management Leader",0,"Prof. Melyssa Hegmann Jr."
2017,3,"Boris Larkin",Malta,"Fabric Pressers",0,"Boris Larkin"
2017,4,"Sigurd Yost",Guam,Molder,0,"Sigurd Yost"
2017,5,"Miss Loyce Stokes MD","Falkland Islands (Malvinas)","Appliance Repairer",0,"Miss Loyce Stokes MD"
2017,6,"America Rempel",Vietnam,"Claims Examiner",0,"America Rempel"
2017,7,"Gillian Dach",Jordan,"Fiber Product Cutting Machine Operator",0,"Gillian Dach"
2017,8,"Kyle Hackett",Macedonia,"Communication Equipment Repairer",0,"Kyle Hackett"
2017,9,"Dr. Cleo Wuckert Jr.","Hong Kong",Assessor,0,"Dr. Cleo Wuckert Jr."
2017,10,"Sibyl Luettgen",Belarus,"Logging Supervisor",0,"Sibyl Luettgen"
2018,1,"Roman Lang MD",Cuba,"Mining Engineer OR Geological Engineer",0,"Roman Lang MD"
2018,2,"Betty DuBuque","Falkland Islands (Malvinas)","Oil and gas Operator",0,"Betty DuBuque"
2018,3,"Vivianne Dach",Gabon,"Bridge Tender OR Lock Tender",0,"Vivianne Dach"
2018,4,"Leonor Olson","Pitcairn Islands",Roofer,0,"Leonor Olson"
2018,5,"Joanne Dibbert","Libyan Arab Jamahiriya","Streetcar Operator",0,"Joanne Dibbert"
2018,6,"Gilda McKenzie",Italy,"Electronic Masking System Operator",0,"Gilda McKenzie"
2018,7,"Eloy Wyman",Vanuatu,"Administrative Services Manager",0,"Eloy Wyman"
2018,8,"Amy Schowalter V",Germany,Cashier,0,"Amy Schowalter V"
2018,9,"Lottie Huel",Bulgaria,Biophysicist,0,"Lottie Huel"
2018,10,"Dr. Don McDermott","Heard Island and McDonald Islands","Fence Erector",0,"Dr. Don McDermott"
2019,1,"Mrs. Chasity Abshire","French Guiana","Precision Dyer",0,"Mrs. Chasity Abshire"
2019,2,"Luigi Weissnat","United Kingdom","Annealing Machine Operator",0,"Luigi Weissnat"
2019,3,"Lavinia O'Conner","Marshall Islands","Driver-Sales Worker",0,"Lavinia O'Conner"
2019,4,"Palma Jacobson",Somalia,"Human Resource Director",0,"Palma Jacobson"
2019,5,"Miss Fabiola Farrell III",Paraguay,"Nuclear Power Reactor Operator",0,"Miss Fabiola Farrell III"
2019,6,"Aracely Weber",Guam,Professor,0,"Aracely Weber"
2019,7,"Miss Mabel Ullrich PhD",Grenada,"Protective Service Worker",0,"Miss Mabel Ullrich PhD"
2019,8,"Arlene Heaney Sr.",Iraq,"Night Security Guard",0,"Arlene Heaney Sr."
2019,9,"Jackeline Mueller",Portugal,"Security Systems Installer OR Fire Alarm Systems Installer",0,"Jackeline Mueller"
2019,10,"Sandra Brekke II",Venezuela,"Numerical Tool Programmer OR Process Control Programmer",0,"Sandra Brekke II"
2020,1,"Dr. Keanu Tremblay PhD",Guadeloupe,"School Social Worker",0,"Dr. Keanu Tremblay PhD"
2020,2,"Lillian Ratke",Bulgaria,"Brake Machine Setter",0,"Lillian Ratke"
2020,3,"Lexus Sipes",Mongolia,"Printing Press Machine Operator",0,"Lexus Sipes"
2020,4,"Prof. Jevon Stracke",Luxembourg,"Costume Attendant",0,"Prof. Jevon Stracke"
2020,5,"Loyal Mohr",Anguilla,"Materials Engineer",0,"Loyal Mohr"
2020,6,"Candido Schaden","South Georgia and the South Sandwich Islands","Home Economics Teacher",0,"Candido Schaden"
2020,7,"Dr. Toney McClure DVM","South Georgia and the South Sandwich Islands","Postal Service Mail Sorter",0,"Dr. Toney McClure DVM"
2020,8,"Pedro Hayes","Cook Islands","Highway Maintenance Worker",0,"Pedro Hayes"
2020,9,"Gilda Rogahn II",Lebanon,"Library Worker",0,"Gilda Rogahn II"
2020,10,"Terrence Ruecker",Germany,"Order Clerk",0,"Terrence Ruecker"
2021,1,"Judah Lakin",Niue,"Casting Machine Set-Up Operator",0,"Judah Lakin"
2021,2,"Julian Kiehn","Cocos (Keeling) Islands","Public Health Social Worker",0,"Julian Kiehn"
2021,3,"Ms. Delphine Waelchi I",Lebanon,Logistician,0,"Ms. Delphine Waelchi I"
2021,4,"Tillman Nader",Israel,"Tax Examiner",0,"Tillman Nader"
2021,5,"Brando Lehner","Marshall Islands","Economics Teacher",0,"Brando Lehner"
2021,6,"Aida Rath","United Kingdom","Word Processors and Typist",0,"Aida Rath"
2021,7,"Mikayla Howe",Uruguay,"Umpire and Referee",0,"Mikayla Howe"
2021,8,"Claire King","Holy See (Vatican City State)","Bill and Account Collector",0,"Claire King"
2021,9,"Whitney Bergstrom",Kenya,"Directory Assistance Operator",0,"Whitney Bergstrom"
2021,10,"Cristal Langosh",Jordan,"Structural Metal Fabricator",0,"Cristal Langosh"
2022,1,"Allie Bernier","Falkland Islands (Malvinas)",Lawyer,0,"Allie Bernier"
2022,2,"Mr. Otto Hagenes IV",Honduras,"Pressing Machine Operator",0,"Mr. Otto Hagenes IV"
2022,3,"Leora Cartwright",Germany,"Production Control Manager",0,"Leora Cartwright"
2022,4,"Bette Goyette",Haiti,Biochemist,0,"Bette Goyette"
2022,5,"Eudora Champlin",Fiji,"Terrazzo Workes and Finisher",0,"Eudora Champlin"
2022,6,"Josiane Conroy",Niger,"Agricultural Crop Farm Manager",0,"Josiane Conroy"
2022,7,"Daniela Gleichner",Australia,"Graduate Teaching Assistant",0,"Daniela Gleichner"
2022,8,"Tanya Abernathy",Micronesia,Secretary,0,"Tanya Abernathy"
2022,9,"Mr. Kendall Reilly Jr.",Luxembourg,"Sports Book Writer",0,"Mr. Kendall Reilly Jr."
2022,10,"Mr. Erin Borer Jr.",Moldova,"Middle School Teacher",0,"Mr. Erin Borer Jr."
2022,1,"Velda Torp",Panama,"Mold Maker",0,"Velda Torp"
2022,2,"Beryl Oberbrunner","New Caledonia",Landscaping,0,"Beryl Oberbrunner"
2022,3,"Sigurd Robel DDS",Qatar,State,0,"Sigurd Robel DDS"
2022,4,"Muhammad Johnson",Georgia,"Semiconductor Processor",0,"Muhammad Johnson"
2022,5,"Dr. Mackenzie Schmitt",Martinique,Logistician,0,"Dr. Mackenzie Schmitt"
2022,6,"Kyra Bergstrom",Philippines,"Short Order Cook",0,"Kyra Bergstrom"
2022,7,"Cruz Bins",Germany,"Rail Car Repairer",0,"Cruz Bins"
2022,8,"Sammy Cartwright",Cameroon,"Statistical Assistant",0,"Sammy Cartwright"
2022,9,"Jaiden Ziemann","Puerto Rico","Desktop Publisher",0,"Jaiden Ziemann"
2022,10,"Paolo Hegmann",Venezuela,"Audio and Video Equipment Technician",0,"Paolo Hegmann"
2022,1,"Richie Ankunding","Equatorial Guinea","Dietetic Technician",0,"Richie Ankunding"
2022,2,"Carmella Kuhn",Gibraltar,"Order Clerk",0,"Carmella Kuhn"
2022,3,"Miss Jana Nicolas DDS","United Kingdom","Office and Administrative Support Worker",0,"Miss Jana Nicolas DDS"
2022,4,"Mike Kessler","Czech Republic","Instructional Coordinator",0,"Mike Kessler"
2022,5,"Miss Celine Koepp","Trinidad and Tobago","Brazing Machine Operator",0,"Miss Celine Koepp"
2022,6,"Mrs. Lenora Hackett DVM","Dominican Republic","Printing Press Machine Operator",0,"Mrs. Lenora Hackett DVM"
2022,7,"Sabina Stanton",Panama,Roofer,0,"Sabina Stanton"
2022,8,"Tyrell Ziemann I",Ireland,"Home Appliance Repairer",0,"Tyrell Ziemann I"
2022,9,"Lourdes Barrows",Nigeria,"Foreign Language Teacher",0,"Lourdes Barrows"
2022,10,"Odell Schulist","Palestinian Territories","Mechanical Inspector",0,"Odell Schulist"
2022,1,"Blanca Botsford I",Vietnam,"Home Appliance Repairer",0,"Blanca Botsford I"
2022,2,"Mr. Oran McCullough",Honduras,"Desktop Publisher",0,"Mr. Oran McCullough"
2022,3,"Rod Lesch I",Liberia,Drafter,0,"Rod Lesch I"
2022,4,"Presley Hand","Saint Pierre and Miquelon","Audio and Video Equipment Technician",0,"Presley Hand"
2022,5,"Creola Rice","United States Minor Outlying Islands","Technical Specialist",0,"Creola Rice"
2022,6,"Britney Raynor DDS",Tunisia,Millwright,0,"Britney Raynor DDS"
2022,7,"Sheldon Buckridge",Qatar,"Fraud Investigator",0,"Sheldon Buckridge"
2022,8,"Micheal Wisozk Sr.",Dominica,Home,0,"Micheal Wisozk Sr."
2022,9,"Mr. Raymond Mraz",Bangladesh,"Administrative Services Manager",0,"Mr. Raymond Mraz"
2022,10,"Serena Gutkowski",Denmark,Biologist,0,"Serena Gutkowski"
2022,1,"Kaia Waters",Panama,"Calibration Technician OR Instrumentation Technician",0,"Kaia Waters"
2022,2,"Rey Bauch",Colombia,"Housekeeping Supervisor",0,"Rey Bauch"
2022,3,"Prof. Oswaldo Greenholt I","Libyan Arab Jamahiriya","Bartender Helper",0,"Prof. Oswaldo Greenholt I"
2022,4,"Ebba Gleason",Guinea,"Sawing Machine Operator",0,"Ebba Gleason"
2022,5,"Darion Gusikowski",Madagascar,"Mold Maker",0,"Darion Gusikowski"
2022,6,"Kiera Mueller",Kazakhstan,"Electrical Sales Representative",0,"Kiera Mueller"
2022,7,"Prof. Terrell Kirlin DDS",Belize,"Electrical Parts Reconditioner",0,"Prof. Terrell Kirlin DDS"
2022,8,"Mr. Jordon Rogahn",Tajikistan,"Soldering Machine Setter",0,"Mr. Jordon Rogahn"
2022,9,"Rae Moore","Pitcairn Islands",Stonemason,0,"Rae Moore"
2022,10,"Abby DuBuque IV","Antarctica (the territory South of 60 deg S)",Cartoonist,0,"Abby DuBuque IV"
2022,1,"Miss Reina Bashirian DDS",Botswana,"Financial Analyst",0,"Miss Reina Bashirian DDS"
2022,2,"Berniece Osinski",Cuba,"Patrol Officer",0,"Berniece Osinski"
2022,3,"Baby Hermann",Togo,"Crossing Guard",0,"Baby Hermann"
2022,4,"Nathan Willms","Cook Islands","MARCOM Manager",0,"Nathan Willms"
2022,5,"Mr. Bryce McCullough",Italy,"Shipping and Receiving Clerk",0,"Mr. Bryce McCullough"
2022,6,"Mr. Mavis Collier",Japan,"Graduate Teaching Assistant",0,"Mr. Mavis Collier"
2022,7,"Gerardo McClure Sr.","Cape Verde","Web Developer",0,"Gerardo McClure Sr."
2022,8,"Brandi Greenholt DDS","Central African Republic","Adjustment Clerk",0,"Brandi Greenholt DDS"
2022,9,"Angelo Krajcik",Reunion,"Elementary School Teacher",0,"Angelo Krajcik"
2022,10,"Mrs. Maye Rath",Ethiopia,"Health Educator",0,"Mrs. Maye Rath"
2022,1,"Mercedes Collier",Iran,"Jewelry Model OR Mold Makers",0,"Mercedes Collier"
2022,2,"Lolita Corwin",Montenegro,Professor,0,"Lolita Corwin"
